文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1996/01/09										WPRO1996front.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	1	1
Symposium	中表紙	Ja		1996/01/09										WPRO1996title.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	5	5
Symposium	第37回プログラミング・シンポジウム開催に際して	Ja		1996/01/09					米田,信夫					WPRO1996preface1.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	7	7
Symposium	第37回プログラミング・シンポジウムの準備にあたって	Ja		1996/01/09					中西,正和					WPRO1996preface2.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	9	9
Symposium	第37回プログラミング・シンポジウム プログラム	Ja		1996/01/09										WPRO1996program.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	10	10
Symposium	目次	Ja		1996/01/09										WPRO1996toc.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	11	13
Symposium	セッション1	Ja		1996/01/09										WPRO1996S01.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	15	15
Symposium	手書きインタフェースのその後とこれから	Ja		1996/01/09	Up to now and from now on of the handwriting interface		東京農工大学工学部	Dept. of Computer Science, Tokyo Univ. of Agri. & Tech.	中川,正樹	Nakagawa,Masaki				WPRO1996001.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		1	12	1996/01/09	17	28
Symposium	なめらかなユーザインタフェース	Ja		1996/01/09	"Smooth" User Interface		シャープ株式会社 ソフトウェア研究所;;シャープ株式会社 ソフトウェア研究所;;シャープ株式会社 ソフトウェア研究所;;シャープ株式会社 ソフトウェア研究所	SHARP Corporation;;SHARP Corporation;;SHARP Corporation;;SHARP Corporation	増井,俊之;;水口,充;;Borden,George;;柏木,宏一	Masui,Toshiyuki;;Minakuchi,Mitsuru;;Borden,George;;Kashiwagi,Kouichi				WPRO1996002.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		13	23	1996/01/09	29	39
Symposium	セッション2	Ja		1996/01/09										WPRO1996S02.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	41	41
Symposium	双方向CATVとオンライン教材を用いた遠隔教育の試み	Ja		1996/01/09	An Experimental Distance Education Using Two-way CATV and Online Courseware		慶應義塾大学 環境情報学部;;慶應義塾大学 政策・メディア研究科	Keio University at Shonan Fujisawa, Faculty of Environmental Information;;Keio University at Shonan Fujisawa, Graduate School of Media and Governance	安村,通晃;;佐藤,宏之	Yasumura,Michiaki;;Sato,Hiroyuki				WPRO1996003.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		25	36	1996/01/09	43	54
Symposium	意味コンピューティングへの第一歩 ―プロトコル解析支援システム―	Ja		1996/01/09	The First Step to Semantic Computing ―Protocol Analysis Support System―		NTT基礎研究所;;NTT基礎研究所;;NTT基礎研究所;;NTT基礎研究所	NTT Basic Research Laboratories;;NTT Basic Research Laboratories;;NTT Basic Research Laboratories;;NTT Basic Research Laboratories	尾内,理紀夫;;高田,敏弘;;鷲坂,光一;;青柳,滋己	Onai,Rikio;;Takada,Toshihiro;;Washizaka,Mitsukazu;;Aoyagi,Shigemi				WPRO1996004.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		37	46	1996/01/09	55	64
Symposium	プログラミング教育におけるスタックの扱い	Ja		1996/01/09	How to Teach Stacks in Programming		早稲田大学大学院理工学研究科;;早稲田大学理工学部	Graduate School of Science and Engineering, Waseda University;;Scbool of Science and Engineering, Waseda University	白井,千恵子;;二村,良彦	Shirai,Chieko;;Futamura,Yoshihiko				WPRO1996005.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		47	53	1996/01/09	65	71
Symposium	セッション3	Ja		1996/01/09										WPRO1996S03.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	73	73
Symposium	自己組織化する計算の理論について	Ja		1996/01/09	Towards the theory of self-organizing computation		慶応義塾大学 計算機科学科;;慶応義塾大学 計算機科学科	Department of Computer Science, Graduate School of Science and Technology;;Department of Computer Science, Graduate School of Science and Technology	米津,光浩;;中西,正和	Yonezu,Mitsuhiro;;Nakanishi,Masakazu				WPRO1996006.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		55	60	1996/01/09	75	80
Symposium	Epistemic Programming ―Toward a New Programming Paradigm for Scientific Discovery―	En		1996/01/09	Epistemic Programming ―Toward a New Programming Paradigm for Scientific Discovery―		九州大学 工学部 情報工学科	Department of Computer Science and Communication Engineering, Kyushu University	程,京徳	Jingde,Cheng				WPRO1996007.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		61	72	1996/01/09	81	92
Symposium	セッション4	Ja		1996/01/09										WPRO1996S04.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	93	93
Symposium	円周率 ―高速計算法と統計性― (3)	Ja		1996/01/09	π ―Fast Calculation and Statistical Testing― (3)		東京大学大学院理学系研究科情報科学専攻;;東京大学大型計算機センター	Department of lnformation Science, Graduate School of Science, University of Tokyo;;Computer Centre, University of Tokyo	高橋,大介;;金田,康正	Takahashi,Daisuke;;Kanada,Yasumasa				WPRO1996008.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		73	84	1996/01/09	95	106
Symposium	近似式を多様化する混合展開形式	Ja		1996/01/09	The Mixed Expansion Forms which Generate Various Approximations		電気通信大学 情報工学科	Department of Computer Science, The University of Electro-Communications	浜田,穂積	Hamada,Hozumi				WPRO1996009.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		85	90	1996/01/09	107	112
Symposium	倍の計算は 倍の時間で 済むか	Ja		1996/01/09	Is Double Sized Problem Completed in Double Sized Time?		会津大学 情報センター;;東京大学 工学部 計数工学科;;東京大学 工学部 計数工学科	lnformation Systems and Technology Center, The University of Aizu;;Department of Mathmatical Engineering and Information Physics, Faculty of Engineering, University of Tokyo;;Department of Mathmatical Engineering and Information Physics, Faculty of Engineering, University of Tokyo	永松,礼夫;;古市,実裕;;出口,光一郎	Nagamatsu,Leo;;Huruichi,Sanehiro;;Deguchi,Koichiro				WPRO1996010.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		91	96	1996/01/09	113	118
Symposium	セッション5	Ja		1996/01/09										WPRO1996S05.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996				1996/01/09	119	119
Symposium	属性グラフ文法に基づいた構文指向Hichartエディタ	Ja		1996/01/09			関東学園大学経済学部;;東洋大学工学部;;東洋大学工学部;;日本大学文理学部		安斉,公士;;安達,由洋;;土田,賢省;;夜久,竹夫					WPRO1996011.pdf	1996/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第37回プログラミング・シンポジウム報告書	1996		97	108	1996/01/09	121	132
