文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1995/01/10										WPRO1995front.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	1	1
Symposium	中表紙	Ja		1995/01/10										WPRO1995title.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	5	5
Symposium	第36回プログラミング・シンポジウム開催に際して	Ja		1995/01/10					米田,信夫					WPRO1995preface1.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	7	7
Symposium	第36回プログラミング・シンポジウムの準備にあたって	Ja		1995/01/10					中西,正和					WPRO1995preface2.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	9	9
Symposium	第36回プログラミング・シンポジウム プログラム	Ja		1995/01/10										WPRO1995program.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	10	10
Symposium	目次	Ja		1995/01/10										WPRO1995toc.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	11	12
Symposium	セッション1	Ja		1995/01/10										WPRO1995S01.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	13	14
Symposium	非同期編集向き分散ファイルの試み	Ja		1995/01/10	A concept of distributed file system for asynchronous shared editing and its application		(株)東芝 研究開発センター 情報・通信システム研究所;;(株)東芝 研究開発センター 情報・通信システム研究所;;(株)東芝 研究開発センター 情報・通信システム研究所	Communication and Information Systems Research Labs., Toshiba Corporation;;Communication and Information Systems Research Labs., Toshiba Corporation;;Communication and Information Systems Research Labs., Toshiba Corporation	高橋,俊成;;新保,淳;;室田,真男	Takahashi,Toshinari;;Shimbo,Atsushi;;Murota,Masao				WPRO1995001.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995		1	8	1995/01/10	15	22
Symposium	ペンインタフェースを用いた分散KJ法システム	Ja		1995/01/10	A Distributed "KJ-method" System Using a Pen-interface		東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科	Department of Computer Science, Tokyo University of Agriculture and Technology;;Department of Computer Science, Tokyo University of Agriculture and Technology;;Department of Computer Science, Tokyo University of Agriculture and Technology;;Department of Computer Science, Tokyo University of Agriculture and Technology	中島,一彰;;早川,栄一;;並木,美太郎;;高橋,延匡	Nakajima,Kazuaki;;Hayakawa,Eiichi;;Namiki,Mitarou;;Takahashi,Nobumasa				WPRO1995002.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995		9	18	1995/01/10	23	32
Symposium	セッション2	Ja		1995/01/10										WPRO1995S02.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	33	34
Symposium	オブジェクト駆動型リアルタイムシステムの構築と解析	Ja		1995/01/10	Construct and Analysis of Object-Driven type Real-Time System		東海大学 工学部;;東海大学 工学部;;エルグ株式会社	Tokai University;;Tokai University;;ERG Corporation	吉田,聡;;大原,茂之;;澤田,勉	Yoshida,Satoshi;;Ohara,Shigeyuki;;Sawada,Tsutomu				WPRO1995003.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995		19	26	1995/01/10	35	42
Symposium	マルチメディアと情報の表現	Ja		1995/01/10	Multimedia and Information Representation		奈良先端科学技術大学院大学 情報科学センター / 電気通信大学 情報工学科	Information Technology Center, Nara Institute of Science and Technology / Department of Computer Science, The University of Electro-Communications	砂原,秀樹	Sunahara,Hideki				WPRO1995004.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995		27	34	1995/01/10	43	50
Symposium	テスト問題による将棋プログラムの評価	Ja		1995/01/10	An Evaluation Of Shogi Programs By A Test Set		電子技術総合研究所;;電子技術総合研究所	Electrotechnical Laboratory;;Electrotechnical Laboratory	松原,仁;;飯田,弘之	Matsubara,Hitoshi;;Iida,Hiroyuki				WPRO1995005.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995		35	46	1995/01/10	51	62
Symposium	セッション3	Ja		1995/01/10										WPRO1995S03.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	63	64
Symposium	演奏表情の表現と重奏システムへの応用	Ja		1995/01/10	Representation of expressions in music performances and its applications to accompaniment systems		筑波大学電子・情報工学系;;筑波大学電子・情報工学系;;筑波大学工学研究科;;筑波大学工学研究科;;筑波大学工学研究科;;筑波大学第三学群情報学類;;筑波大学第三学群情報学類	Inst. of Inf. Sci. & Electr., Univ. of Tsukuba;;Inst. of Inf. Sci. & Electr., Univ. of Tsukuba;;Dr. Program in Eng., Univ. of Tsukuba;;Dr. Program in Eng., Univ. of Tsukuba;;Dr. Program in Eng., Univ. of Tsukuba;;College of Inf. Sci., Univ. of Tsukuba;;College of Inf. Sci., Univ. of Tsukuba	五十嵐,滋;;辻,尚史;;千葉,大春;;松下,昌弘;;小川,大典;;彌富,あかね;;清野,桂子	Igarashi,Shigeru;;Tsuji,Takashi;;Chiba,Daisyun;;Matsushita,Masahiro;;Ogawa,Daisuke;;Iyatomi,Akane;;Seino,Keiko				WPRO1995006.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995		47	56	1995/01/10	65	74
Symposium	構文にS式を使った画像処理システムの作成	Ja		1995/01/10	Implementation of a picture processing system with S expression syntax		電気通信大学大学院 情報システム学研究科;;電気通信大学大学院 情報システム学研究科	Graduate School of Information Systems, The University of Electro-Communications;;Graduate School of Information Systems, The University of Electro-Communications	別府,二郎;;多田,好克	Beppu,Jiro;;Tada,Yoshikatsu				WPRO1995007.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995		57	64	1995/01/10	75	82
Symposium	セッション4	Ja		1995/01/10										WPRO1995S04.pdf	1995/01/10	0	IPSJ:学会員,0|DLIB:会員,0			第36回プログラミング・シンポジウム報告集	1995				1995/01/10	83	84
