文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1991/01/08										WPRO1991front.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991				1991/01/08	1	1
Symposium	中表紙	Ja		1991/01/08										WPRO1991title.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991				1991/01/08	5	5
Symposium	第32回プログラミング・シンポジウムの開催に際して	Ja		1991/01/08					米田,信夫					WPRO1991preface1.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991				1991/01/08	7	7
Symposium	第32回プログラミング・シンポジウムの開催にあたって	Ja		1991/01/08					川合,慧					WPRO1991preface2.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991				1991/01/08	9	9
Symposium	プログラム	Ja		1991/01/08										WPRO1991program.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991				1991/01/08	10	10
Symposium	目次	Ja		1991/01/08										WPRO1991toc.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991				1991/01/08	11	12
Symposium	漢字スケルトンフォントの生成支援システム	Ja		1991/01/08	Kanji Skeleton Font Creation Support System		東京大学工学部;;東京大学工学部;;東京大学工学部;;東京大学工学部;;東京大学工学部;;東京大学工学部		田中,哲朗;;石井,裕一郎;;長橋,賢児;;竹内,幹雄;;岩崎,英哉;;和田,英一	Tanaka,Tetsurou;;Ishii,Yuuichirou;;Nagahashi,Kenji;;Takeuchi,Mikio;;Iwasaki,Hideya;;Wada,Eiiti				WPRO1991001.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991		1	8	1991/01/08	13	22
Symposium	グラフィック環境とマクロプログラミング	Ja		1991/01/08	Graphics Environment ans Macro Programming		日本アイ・ビー・エム東京基礎研究所	IBM Research, Tokyo Research Laboratory, IBM Japan Ltd.	美馬,義亮	Mima,Yoshiaki				WPRO1991002.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991		9	18	1991/01/08	23	32
Symposium	組合せキーを用いるプログラム 5指キーボードシステム	Ja		1991/01/08	Utilization of the Key Combination 5-finger Cord System		三重大学教育学部物理教室	Department of Physics Faculty of Educationa Mie University	神阪,博通	Kousaka,Hiromiti				WPRO1991003.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991		19	28	1991/01/08	33	42
Symposium	GHQ -- A procedural language for Generating High Quality codes -- より質の良い目的コードを生成するための手続き型言語の構文とは	Ja		1991/01/08			電気通信大学情報工学科;;電気通信大学情報工学科	Department of Computer Science and Information Mathematics, University of Electro-Communications;;Department of Computer Science and Information Mathematics, University of Electro-Communications	神山,淑朗;;寺島,元章	Kamiyama,Yoshiro;;Terashima,Motoaki				WPRO1991004.pdf	1991/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第32回プログラミング・シンポジウム報告集	1991		29	38	1991/01/08	43	52
