文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1997/01/08										WPRO1997front.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	1	1
Symposium	中表紙	Ja		1997/01/08										WPRO1997title.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	5	5
Symposium	第38回プログラミング・ シンポジウム開催に際して	Ja		1997/01/08					和田,英一					WPRO1997preface1.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	7	7
Symposium	第38回プログラミング・ シンポジウムの準備にあたって	Ja		1997/01/08					中西,正和					WPRO1997preface2.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	9	9
Symposium	第38回プログラミング・ シンポジウム プログラム	Ja		1997/01/08										WPRO1997program.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	10	10
Symposium	目次	Ja		1997/01/08										WPRO1997toc.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	11	12
Symposium	セッション1	Ja		1997/01/08										WPRO1997S01.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	13	14
Symposium	知的制御プログラムの数理的基礎について	Ja		1997/01/08	On Mathematical Basis of Intelligent Control Program		筑波大学電子・情報工学系;;筑波大学電子・情報工学系;;筑波大学工学研究科;;筑波大学工学研究科;;機械技術研究所	Institute of Information Sciences, University of Tsukuba;;Institute of Information Sciences, University of Tsukuba;;Doctral Program in Engineering, University of Tsukuba;;Doctral Program in Engineering, University of Tsukuba;;Mechanical Engineering Laboratory	五十嵐,滋;;水谷,哲也;;塩,雅之;;白銀,哲也;;富田,康治	Igarashi,Shigeru;;Mizutani,Tetsuya;;Shio,Masayuki;;Shirogane,Tetsuya;;Tomita,Kohji				WPRO1997001.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		1	12	1997/01/08	15	26
Symposium	線形論理上の帰納推論	Ja		1997/01/08	Induction in Linear Logic		慶應義塾大学理工学研究科計算機科学専攻;;慶應義塾大学理工学研究科計算機科学専攻	Department of Computer Science, Keio University	山口,文彦;;中西,正和	Yamaguchi,Fumihiko;;Nakanishi,Masakazu				WPRO1997002.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		13	20	1997/01/08	27	34
Symposium	プログラムの類似性判定とクラスタリング	Ja		1997/01/08	Detection and Clustering of Similar Programs		東京大学大学院工学系研究科	Department of Mechano-Informatics, the University of Tokyo	寺田,実	Terada,Minoru				WPRO1997003.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		21	32	1997/01/08	35	46
Symposium	セッション2	Ja		1997/01/08										WPRO1997S02.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	47	48
Symposium	プログラミング教育を支援する言語処理系の開発	Ja		1997/01/08	Development of a Language Processor to Assist Programming Education		東京農工大学;;東京農工大学;;東京農工大学;;東京農工大学	Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology	橋本,裕;;早川,栄一;;並木,美太郎;;高橋,延匡	Hashimoto,Yutaka;;Hayakawa,Eiichi;;Namiki,Mitarou;;Takahashi,Nobumasa				WPRO1997004.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		33	42	1997/01/08	49	58
Symposium	Lisp処理系におけるヒープ領域のアクセスの解析	Ja		1997/01/08			慶應義塾大学大学院理工学系研究科計算機科学専攻;;慶應義塾大学理工学部数理科学科	Graduate School of Science and Technology, Keio University;;Department of Mathematics, Faculty of Science and Technology, Keio University	岩井,輝男;;中西,正和	Iwai,Teruo;;Nakanishi,Masakazu				WPRO1997005.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		43	54	1997/01/08	59	70
Symposium	あるマシン工房の事例 ― TAO/SILENTの開発	Ja		1997/01/08			NTT電気通信研究所;;NTT電気通信研究所;;NTT電気通信研究所;;NTT電気通信研究所		竹内,郁雄;;吉田,雅治;;山崎,憲一;;天海,良治					WPRO1997006.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		55	64	1997/01/08	71	80
Symposium	セッション3	Ja		1997/01/08										WPRO1997S03.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	81	82
Symposium	アイコン投げシェル	Ja		1997/01/08	An "Icon-Throwing" Shell		筑波大学大学院経営システム科学専攻;;電気通信大学情報工学科;;筑波大学大学院経営システム科学専攻;;お茶の水女子大学情報科学科	Graduate School of Systems Management, The University of Tsukuba;;Department of Computer Science, University of Electro-Communications;;Graduate School of Systems Management, The University of Tsukuba;;Department of Information Sciences, Ochanomizu University	久野,靖;;角田,博保;;大木,敦雄;;粕川,正充	Kuno,Yasushi;;Kakuda,Hiroyasu;;Ohki,Atsuo;;Kasukawa,Masaatsu				WPRO1997007.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		65	74	1997/01/08	83	92
Symposium	見えて触れるプログラミング言語	Ja		1997/01/08			NTT基礎研究所;;NTT基礎研究所		原田,康徳;;宮本,健司	Harada,Yasunori;;Miyamoto,Kenji				WPRO1997008.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		75	82	1997/01/08	93	100
Symposium	セッション4	Ja		1997/01/08										WPRO1997S04.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	101	102
Symposium	マルチメディアデータ検索のための言語情報を援用したカラー画像中の文字認識	Ja		1997/01/08	Recognition of Characters in Color Images Improved with Language Information Intended as an Indexing Method for Multimedia Data Retrieval		NTT基礎研究所;;NTT基礎研究所;;NTT基礎研究所;;NTT基礎研究所	NTT Basic Research Laboratories;;NTT Basic Research Laboratories;;NTT Basic Research Laboratories;;NTT Basic Research Laboratories	中村,昌志;;鷲坂,光一;;山崎,憲一;;尾内,理紀夫	Nakamura,Masashi;;Washisaka,Mitsukazu;;Yamazaki,Kenichi;;Onai,Rikio				WPRO1997009.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		83	90	1997/01/08	103	110
Symposium	A-Life的手法による自律レイアウトを用いた多属性情報可視化	Ja		1997/01/08			シャープ株式会社ソフトウェア研究所	Sharp Corporation	水口,充	Minakuchi,Mitsuru				WPRO1997010.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		91	98	1997/01/08	111	118
Symposium	セッション5	Ja		1997/01/08										WPRO1997S05.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	119	120
Symposium	「倉庫番」の問題の自動作成	Ja		1997/01/08	Automatic Composition of "Sokoban" problems		図書館情報大学;;電子技術総合研究所;;図書館情報大学	University of Library and Information Science;;Electrotechnical Laboratory;;University of Library and Information Science	村瀬,芳生;;松原,仁;;平賀,譲	Murase,Yoshio;;Matsubara,Hitoshi;;Hiraga,Yuzuru				WPRO1997011.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		99	106	1997/01/08	121	128
Symposium	ゲーム(マシン)とポリゴンとテキスチュア(マッピング)と…	Ja		1997/01/08	Speaking of games, polygons, or textures...		日本アイ・ビー・エム株式会社 東京基礎研究所	IBM Research, Tokyo Research Laboratory, IBM Japan, Ltd.	宮沢,篤	Miyazawa,Atsushi				WPRO1997012.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		107	110	1997/01/08	129	132
Symposium	セッション6	Ja		1997/01/08										WPRO1997S06.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	133	134
Symposium	n-gram解析を用いたプログラム中の非定型パターン・欠損の検出	Ja		1997/01/08	Detecting irregulars and faults in a program using n-gram analysis		豊橋技術科学大学;;豊橋技術科学大学;;豊橋技術科学大学	Toyohashi University of Technology;;Toyohashi University of Technology;;Toyohashi University of Technology	吉川,裕之;;貴島,寿郎;;梅村,恭司	Yoshikawa,Hiroyuki;;Kijima,Toshiro;;Umemura,Kyoji				WPRO1997013.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		111	116	1997/01/08	135	140
Symposium	移動エージェントフレームワーク:Agletsについて	Ja		1997/01/08	Mobile Agent Framework: Aglets		日本アイ・ビー・エム(株) 東京基礎研究所;;日本アイ・ビー・エム(株) 東京基礎研究所;;日本アイ・ビー・エム(株) 東京基礎研究所;;日本アイ・ビー・エム(株) 東京基礎研究所;;日本アイ・ビー・エム(株) 東京基礎研究所;;日本アイ・ビー・エム(株) 東京基礎研究所;;日本アイ・ビー・エム(株) 東京基礎研究所	IBM Research, Tokyo Research Laboratory	美馬,義亮;;Lange,D.B.;;小坂,一也;;山本,学;;Yariv,A.;;大島,満;;津田,和幸	Mima,Yoshiaki;;Lange,D.B.;;Kosaka,Kazuya;;Yamamoto,Gaku;;Yariv,A.;;Oshima,Mitsuru;;Tsuda,Kazuyuki				WPRO1997014.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		117	124	1997/01/08	141	148
Symposium	セッション7	Ja		1997/01/08										WPRO1997S07.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	149	150
Symposium	コンパイラキットLodsにおける交換可能なGCモジュールの構築法	Ja		1997/01/08	Exchangeable GC modules on compiler kit Lods		電子技術総合研究所;;電子技術総合研究所;;電子技術総合研究所;;電子技術総合研究所;;電子技術総合研究所	Electrotechnical Laboratory;;Electrotechnical Laboratory;;Electrotechnical Laboratory;;Electrotechnical Laboratory;;Electrotechnical Laboratory	一杉,裕志;;平野,聡;;田沼,均;;須崎,有康;;塚本,享治	Ichisugi,Yuji;;Hirano,Satoshi;;Tanuma,Hitoshi;;Suzaki,Kuniyasu;;Tukamoto,Michiharu				WPRO1997015.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		125	134	1997/01/08	151	160
Symposium	コンパイラ・エンジニアリング	Ja		1997/01/08	Compiler Engineering		電気通信大学 情報工学科;;電気通信大学 情報工学科	Dep. of Computer Science, The University of Electro-Communications;;Dep. of Computer Science, The University of Electro-Communications	渡邊,坦;;鈴木,貢	Watanabe,Tan;;Suzuki,Mitsugu				WPRO1997016.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		135	142	1997/01/08	161	168
Symposium	セッション8	Ja		1997/01/08										WPRO1997S08.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	169	170
Symposium	キューマシンアーキテクチャとその並列Lisp処理系への応用	Ja		1997/01/08			慶應義塾大学理工学研究科	Graduate School of Science and Technology, Keio University	前田,敦司	Maeda,Atusi				WPRO1997017.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		143	154	1997/01/08	171	182
Symposium	事例ベース並列プログラミング	Ja		1997/01/08	Case-Based Parallel Programming		立命館大学理工学部;;立命館大学理工学部;;立命館大学理工学部;;立命館大学理工学部	Ritsumeikan University	山崎,勝弘;;松田,浩一;;安藤,彰一;;朝倉,啓之	Yamazaki,Katsuhiro;;Matsuda,Koichi;;Ando,Shoichi;;Asakura,Hiroyuki				WPRO1997018.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		155	166	1997/01/08	183	194
Symposium	ポスター発表	Ja		1997/01/08										WPRO1997S09.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	195	196
Symposium	確率的探索手法と記号処理	Ja		1997/01/08	Probablistic Search & Symbolic Computation		日立製作所 日立工場;;東京大学先端科学技術研究センター	Hitachi,Ltd. Hitachi Works;;Research Center for Advanced Science and Technology, The University of Tokyo	甲元,洋;;岡部,洋一	Kohmoto,Hiroshi;;Okabe,Youichi				WPRO1997019.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		167	170	1997/01/08	197	200
Symposium	OS/omicron V4におけるJava仮想マシンの設計と実現	Ja		1997/01/08	The Design and Implementation of Java Virtual Machine for OS/omicron V4		東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科;;東京農工大学 工学部 電子情報工学科	Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology;;Tokyo University of Agriculture and Technology	山本,康弘;;佐藤,元信;;森永,智之;;早川,栄一;;並木,美太郎;;高橋,延匡	Yamamoto,Yasuhiro;;Sato,Motonobu;;Morinaga,Tomoyuki;;Hayakawa,Eiichi;;Namiki,Mitarou;;Takahashi,Nobumasa				WPRO1997020.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		171	172	1997/01/08	201	202
Symposium	OS/omicron 第4版におけるデバイス管理とウィンドウシステムの実現	Ja		1997/01/08	Implementation of Device Management and Window System on OS/omicron Version 4		東京農工大学工学部;;東京農工大学工学部;;東京農工大学工学部;;東京農工大学工学部;;東京農工大学工学部		佐藤,元信;;森永,智之;;早川,栄一;;並木,美太郎;;高橋,延匡	Sato,Motonobu;;Morinaga,Tomoyuki;;Hayakawa,Eiichi;;Namiki,Mitarou;;Takahashi,Nobumasa				WPRO1997021.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		173	174	1997/01/08	203	204
Symposium	報告	Ja		1997/01/08										WPRO1997R00.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	205	206
Symposium	第29回 情報科学若手の会報告	Ja		1997/01/08			慶應義塾大学		田中,詠子					WPRO1997R01.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		175	180	1997/01/08	207	212
Symposium	1996年夏のプログラミングシンポジウム報告	Ja		1997/01/08			東京農工大学 工学部 電子情報工学科 情報工学大講座		中森,眞理雄					WPRO1997R02.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		181	184	1997/01/08	213	216
Symposium	山内賞報告	Ja		1997/01/08					山内記念会					WPRO1997R03.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997		185	185	1997/01/08	217	217
Symposium	奥付	Ja		1997/01/08										WPRO1997colophon.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	219	219
Symposium	裏表紙	Ja		1997/01/08										WPRO1997back.pdf	1997/01/08	0	IPSJ:学会員,0|DLIB:会員,0			第38回プログラミング・シンポジウム報告集	1997				1997/01/08	224	224
