文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1970/01/11										WPRO1970front.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970				1970/01/11	1	1
Symposium	第11回プログラミング・シンポジウム報告集 正誤表	Ja		1970/01/11										WPRO1970errata.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970				1970/01/11	3	9
Symposium	中表紙	Ja		1970/01/11										WPRO1970title.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970				1970/01/11	11	11
Symposium	はしがき	Ja		1970/01/11					山内,二郎					WPRO1970preface1.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970				1970/01/11	13	13
Symposium	シンポジウム開催の準備にあたって	Ja		1970/01/11					有山,正孝;;大駒,誠一;;土居,範久;;永坂,秀子;;淵,一博;;吉沢,正;;米田,信夫					WPRO1970preface2.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970				1970/01/11	15	15
Symposium	目次	Ja		1970/01/11										WPRO1970toc.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970				1970/01/11	17	18
Symposium	A	Ja		1970/01/11										WPRO1970A00.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970				1970/01/11	19	19
Symposium	〔総合報告〕 図形入力装置について	Ja		1970/01/11			京都大学工学部		萩原,宏					WPRO1970P01.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970		A-1	A-6	1970/01/11	21	26
Symposium	マイクロプログラム制御を用いた手書き文字図形処理	Ja		1970/01/11			東芝総合研究所;;東芝総合研究所		森,健一;;玄地,宏					WPRO1970A01.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970		A-7	A-20	1970/01/11	27	40
Symposium	プログラム制御方式による図形読取装置	Ja		1970/01/11			東北大学;;東北大学;;東北大学;;東北大学		大泉,充郎;;高橋,理;;小川,靖彦;;宮崎,正俊					WPRO1970A02.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970		A-21	A-28	1970/01/11	41	48
Symposium	活字読取の実験とテレビカメラを利用した入力装置	Ja		1970/01/11			東大理		中川,圭介					WPRO1970A03.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970		A-29	A-34	1970/01/11	49	54
Symposium	コントロール・ボールと超高精度ブラウン管による図形入力	Ja		1970/01/11			理研;;理研;;理研;;理研		後藤,英一;;相馬,嵩;;小野,厚夫;;山田,作衛					WPRO1970A04.pdf	1970/01/11	0	IPSJ:学会員,0|DLIB:会員,0			第11回プログラミング—シンポジウム報告集	1970		A-35	A-49	1970/01/11	55	69
