文献種類	論文タイトル	言語	キーワード	公開日	論文タイトル英語	その他タイトル	著者所属	著者所属英語	著者名	著者名英語	論文抄録	論文抄録英語	研究会名	ファイル名	ファイル公開日	非会員価格	会員価格	ライセンス表記	書誌レコードID	雑誌名	巻	号	表記開始ページ	表記終了ページ	発行年月日	物理ページ開始	物理ページ終了
Symposium	表紙	Ja		1990/01/09										WPRO1990front.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990				1990/01/09	1	1
Symposium	中表紙	Ja		1990/01/09										WPRO1990title.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990				1990/01/09	5	5
Symposium	第31回プログラミング・シンポジウムの開催に際して	Ja		1990/01/09					米田,信夫					WPRO1990preface1.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990				1990/01/09	7	7
Symposium	第31回プログラミング・シンポジウムの開催にあたって	Ja		1990/01/09					川合,慧					WPRO1990preface2.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990				1990/01/09	9	9
Symposium	プログラム	Ja		1990/01/09										WPRO1990program.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990				1990/01/09	10	10
Symposium	目次　	Ja		1990/01/09										WPRO1990toc.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990				1990/01/09	11	11
Symposium	手書きユーザインタフェース	Ja		1990/01/09	User Interface through Handwriting		東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科		曽谷,俊男;;本間,正之;;幸田,恵理子;;福島,英洋;;中川,勇;;中川,正樹;;高橋,延匡	Souya,T.;;Honma,M.;;Kouda,E.;;Fukushima,H.;;Nakagawa,T.;;Nakagawa,M.;;Takahashi,N.				WPRO1990001.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990		1	10	1990/01/09	13	22
Symposium	表エディター	Ja		1990/01/09	A Table Editor		日本アイ・ビー・エム（株）東京基礎研究所;;日本アイ・ビー・エム（株）東京基礎研究所	IBM Research, Tokyo Research Laboratory, IBM Japan Ltd.;;IBM Research, Tokyo Research Laboratory, IBM Japan Ltd.	椎尾,一郎;;坂入,隆	Siio,Itiro;;Sakairi,Takashi				WPRO1990002.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990		11	21	1990/01/09	23	33
Symposium	PL/I初心者エラー相談システム	Ja		1990/01/09	Programming Error Consultation System for PL/I Beginners		図書館情報大学;;図書館情報大学	Univ. Lib. and Info. Sci.;;Univ. Lib. and Info. Sci.	木下,成顕;;平賀,譲	Kinoshita,Shigeaki;;Hiraga,Yuzuru				WPRO1990003.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990		23	32	1990/01/09	35	44
Symposium	日本語情報処理向けの並列処理用OS "OS/omicron"	Ja		1990/01/09	An Operating system "OS/omicron" suitable for Multi-processor systems		東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科;;東京農工大学工学部数理情報工学科		並木,美太郎;;岡野,裕之;;堀,素史;;横関,隆;;早川,栄一;;中川,正樹;;高橋,延匡	Namiki,M.;;Okano,H.;;Hori,M.;;Yokozeki,T.;;Hayakawa,E.;;Nakagawa,M.;;Takahashi,N.				WPRO1990005.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990		33	43	1990/01/09	45	55
Symposium	オペレーティングシステム開発における「環境問題」	Ja		1990/01/09	Encironments for Operating System Development --- Their Problems and Advantages		電気通信大学電子情報学科	The Univ. of Electro-Communications	多田,好克	Tada,Yoshikatsu				WPRO1990006.pdf	1990/01/09	0	IPSJ:学会員,0|DLIB:会員,0			第31回プログラミング・シンポジウム報告集	1990		45	56	1990/01/09	57	68
